lead_time_days,supplier_reliability,distance_km,season_q,order_value,item_category,carrier,weekend_flag,delayed
23.444725,0.6090746,3617.6055,0.0,2281.549,4.0,0.0,1.0,1
13.727475,0.8314639,3570.627,1.0,4814.914,2.0,2.0,0.0,0
25.89934,0.8834308,1053.3405,3.0,557.26917,4.0,1.0,1.0,0
21.223673,0.58331805,231.4442,0.0,2844.1821,1.0,2.0,0.0,1
3.731143,0.52192914,1553.8076,0.0,1713.0247,1.0,1.0,1.0,1
29.293049,0.7197937,827.8247,1.0,3235.2383,0.0,2.0,0.0,0
23.073051,0.88701206,2009.153,2.0,3247.0466,3.0,0.0,0.0,1
23.795864,0.8253899,4897.763,3.0,1210.5515,3.0,1.0,1.0,0
4.7152953,0.8509409,946.3033,2.0,3931.189,1.0,1.0,0.0,0
14.0611925,0.70141965,1628.426,1.0,465.39972,1.0,1.0,1.0,0
11.753142,0.61747277,3639.316,3.0,4092.513,2.0,0.0,1.0,0
27.876184,0.7658894,2570.4548,0.0,1067.7146,3.0,1.0,1.0,0
19.672089,0.60218287,267.4443,3.0,2952.0007,1.0,2.0,1.0,0
24.860086,0.86311436,850.3656,1.0,1743.0756,2.0,0.0,1.0,1
13.859012,0.5984832,4679.4854,1.0,3052.8013,0.0,2.0,1.0,1
7.589923,0.6456316,560.6667,3.0,1344.415,4.0,2.0,1.0,0
17.082958,0.7532724,3193.7092,2.0,2849.1287,4.0,0.0,1.0,1
2.8507004,0.743355,3972.012,1.0,50.909317,3.0,2.0,0.0,1
25.001305,0.8004247,1363.9233,1.0,1878.5277,4.0,1.0,0.0,0
19.318268,0.7187223,3639.1362,1.0,4133.683,3.0,1.0,0.0,0
22.984545,0.95973665,890.98114,3.0,2320.4028,4.0,0.0,1.0,0
11.281253,0.91996706,1459.5139,0.0,2501.313,2.0,0.0,1.0,0
29.150242,0.9395567,1593.519,0.0,3111.6685,1.0,0.0,1.0,1
26.900513,0.8147583,4982.353,1.0,2176.7058,4.0,0.0,1.0,0
23.573122,0.8175039,1112.1328,1.0,4336.713,0.0,1.0,0.0,1
6.6445227,0.80459934,689.57697,3.0,2022.5901,2.0,2.0,1.0,0
14.534909,0.7174421,4632.173,0.0,4713.3364,3.0,2.0,0.0,0
2.2703092,0.661053,851.55695,3.0,4385.921,3.0,0.0,1.0,0
5.4743953,0.79600143,4402.4355,3.0,2111.228,3.0,1.0,0.0,0
20.80842,0.51276594,3269.7603,1.0,1835.3463,2.0,0.0,0.0,0
22.598103,0.5037282,2905.4644,3.0,3386.3738,4.0,0.0,0.0,0
